0,1
date,unidentified
digital collection,calvin f todd photographs
location depicted,united states washington state seattle
notes,located 9th ave columbia st todd 60016
object type,photograph image
order number,cft0189
photographer,todd calvin f
physical description,b w 10 1 8 x 8 1 8
project,kcsnap
repository,university washington libraries special collections division
repository collection,calvin f todd photograph collection ph coll 232
subjects lcsh,statues washington state seattle church decoration ornament washington state seattle
title,st james cathedral interior view side nave seattle n.d
